CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,FRONTINO,06/23/1997 12:00:00 AM,FEMENINO,ORIENTE,MARINILLA,ESTRATO 1,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,04/13/1998 12:00:00 AM,FEMENINO,ORIENTE,SONSON,ESTRATO 1,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,PEQUE,01/12/1999 12:00:00 AM,FEMENINO,OCCIDENTE,PEQUE,ESTRATO 2,NINGUNO,SI,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,COMUNICACION SOCIAL,SANTA ROSA DE OSOS,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,VALDIVIA,12/15/1994 12:00:00 AM,FEMENINO,NORTE,SANTA ROSA DE OSOS,ESTRATO 2,NINGUNO,NO,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,COMUNICACION SOCIAL,SANTA ROSA DE OSOS,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,YARUMAL,07/30/1999 12:00:00 AM,MASCULINO,NORTE,YARUMAL,ESTRATO 2,NINGUNO,NO,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,INGENIERIA INFORMATICA,SANTA ROSA DE OSOS,UNIVERSITARIA,NO
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,VALPARAISO,03/28/1993 12:00:00 AM,MASCULINO,SUROESTE,TAMESIS,ESTRATO 1,INDIGENA,SI,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,SI
2015,2,MATRICULA,VALLE DEL CAUCA,CALI,06/20/1992 12:00:00 AM,MASCULINO,ORIENTE,SAN RAFAEL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,LIC. EN LENGUAS EXTRANJERAS,RIONEGRO,UNIVERSITARIA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SEGOVIA,10/13/1990 12:00:00 AM,MASCULINO,NORDESTE,YOLOMBO,ESTRATO 2,NINGUNO,SI,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNOLOGIA EN SISTEMAS MECATRONICOS,YOLOMBO,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,SANTANDER,BUCARAMANGA,08/09/1994 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,SI
2015,2,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,APARTADO,04/23/1997 12:00:00 AM,FEMENINO,URABA,CHIGORODO,ESTRATO 1,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SISTEMAS DE INFORMACION,APARTADO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,10/30/1995 12:00:00 AM,MASCULINO,SUROESTE,ANDES,ESTRATO 1,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,COMUNICACION SOCIAL Y PERIODISMO,ANDES,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,11/01/1994 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,02/21/1994 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,08/25/1996 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,05/28/1996 12:00:00 AM,FEMENINO,ORIENTE,GUARNE,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SABANALARGA,01/30/1999 12:00:00 AM,MASCULINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,BOGOTA,"BOGOTA, D.C.",03/09/1998 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,11/23/1988 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,08/13/1998 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,12/31/1998 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,GUARNE,08/02/1997 12:00:00 AM,MASCULINO,ORIENTE,GUARNE,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA,ANTIOQUIA,RIONEGRO,10/20/1995 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,11/20/1998 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SABANETA,06/03/1996 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,05/14/1998 12:00:00 AM,FEMENINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SAN FRANCISCO,10/09/1993 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,11/22/1998 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 1,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,07/14/1998 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 1,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,01/15/1989 12:00:00 AM,FEMENINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,12/23/1994 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,03/03/1991 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,01/22/1994 12:00:00 AM,FEMENINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,APARTADO,11/17/1994 12:00:00 AM,FEMENINO,ORIENTE,SAN RAFAEL,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,12/22/1998 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,05/21/1994 12:00:00 AM,MASCULINO,ORIENTE,MARINILLA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,03/21/1993 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,COCORNA,09/20/1998 12:00:00 AM,FEMENINO,ORIENTE,COCORNA,ESTRATO 2,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,07/12/1998 12:00:00 AM,FEMENINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,05/03/1999 12:00:00 AM,MASCULINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,07/06/1997 12:00:00 AM,FEMENINO,ORIENTE,LA CEJA,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,RISARALDA,PEREIRA,12/24/1994 12:00:00 AM,MASCULINO,ORIENTE,MARINILLA,ESTRATO 2,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,03/09/1998 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,11/06/1997 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,05/06/1997 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,05/28/1997 12:00:00 AM,FEMENINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CHIGORODO,07/29/1996 12:00:00 AM,MASCULINO,URABA,CHIGORODO,ESTRATO 1,AFROCOLOMBIANO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SAN VICENTE,10/13/1998 12:00:00 AM,MASCULINO,ORIENTE,SAN VICENTE,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,BELLO,04/23/1999 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,03/19/1999 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 1,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,GUARNE,01/03/1998 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,07/24/1998 12:00:00 AM,MASCULINO,ORIENTE,LA CEJA,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MARINILLA,11/18/1997 12:00:00 AM,FEMENINO,ORIENTE,MARINILLA,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MARINILLA,11/17/1992 12:00:00 AM,MASCULINO,ORIENTE,MARINILLA,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,02/14/1999 12:00:00 AM,MASCULINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,12/29/1992 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,06/12/1990 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,05/06/1991 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,12/05/1992 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,08/27/1993 12:00:00 AM,FEMENINO,ORIENTE,LA CEJA,ESTRATO 2,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,05/02/1990 12:00:00 AM,FEMENINO,ORIENTE,GUARNE,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,06/21/1998 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SAN VICENTE,06/30/1998 12:00:00 AM,MASCULINO,ORIENTE,SAN VICENTE,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,10/01/1998 12:00:00 AM,FEMENINO,ORIENTE,MARINILLA,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,11/02/1998 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,SI,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN CONSTRUCCIONES CIVILES,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,BELLO,02/02/1999 12:00:00 AM,FEMENINO,ORIENTE,MARINILLA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,02/04/1999 12:00:00 AM,MASCULINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,02/05/1999 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL,RIONEGRO,TECNOLOGICA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,03/17/1999 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO,RIONEGRO,TECNOLOGICA,SI
2016,1,SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,08/27/1998 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,ENFERMERIA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,11/23/1995 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,LIC. EN LENGUAS EXTRANJERAS,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,BELLO,08/06/1998 12:00:00 AM,MASCULINO,ORIENTE,EL PEÑOL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA DE SISTEMAS,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,05/30/1994 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,LIC. EN LENGUAS EXTRANJERAS,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,PUERTO TRIUNFO,05/23/1999 12:00:00 AM,MASCULINO,MAGDALENA MEDIO,PUERTO TRIUNFO,ESTRATO 2,NINGUNO,SI,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA ELECTRONICA,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,12/09/1998 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA DE SISTEMAS,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,RIONEGRO,12/07/1996 12:00:00 AM,MASCULINO,ORIENTE,SAN VICENTE,ESTRATO 2,NINGUNO,SI,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA DE SISTEMAS,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,05/14/1995 12:00:00 AM,MASCULINO,ORIENTE,EL PEÑOL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA DE SISTEMAS,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,06/01/1996 12:00:00 AM,MASCULINO,ORIENTE,SONSON,ESTRATO 2,NINGUNO,SI,UNIVERSIDAD CATOLICA DE ORIENTE,LIC. EN LENGUAS EXTRANJERAS,RIONEGRO,UNIVERSITARIA,NO
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA CEJA,08/22/1998 12:00:00 AM,MASCULINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,SI,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA ELECTRONICA,RIONEGRO,UNIVERSITARIA,SI
2016,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,07/31/1998 12:00:00 AM,MASCULINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,INGENIERIA DE SISTEMAS,RIONEGRO,UNIVERSITARIA,NO
