CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ENTRERRIOS,02/23/1992 12:00:00 AM,FEMENINO,NORTE,ENTRERRIOS,ESTRATO 1,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2014,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL PEÑOL,05/03/1996 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,CONTADURIA PUBLICA,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,04/30/1995 12:00:00 AM,FEMENINO,ORIENTE,SONSON,ESTRATO 2,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SANTA BARBARA,09/18/1993 12:00:00 AM,FEMENINO,SUROESTE,SANTA BARBARA,ESTRATO 1,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2014,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL PEÑOL,11/10/1992 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 2,NINGUNO,NO,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,SI
2014,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL PEÑOL,05/11/1996 12:00:00 AM,MASCULINO,ORIENTE,EL PEÑOL,ESTRATO 2,NINGUNO,NO,UNIVERSIDAD DE ANTIOQUIA,CONTADURIA PUBLICA,EL CARMEN DE VIBORAL,UNIVERSITARIA,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CALDAS,03/06/1996 12:00:00 AM,FEMENINO,SUROESTE,CONCORDIA,ESTRATO 2,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CONCORDIA,03/22/1997 12:00:00 AM,MASCULINO,SUROESTE,SALGAR,ESTRATO 1,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ANORI,05/04/1995 12:00:00 AM,MASCULINO,NORDESTE,ANORI,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2015,1,MATRICULA,ANTIOQUIA,LA UNION,11/17/1997 12:00:00 AM,FEMENINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA UNION,01/19/1997 12:00:00 AM,FEMENINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA UNION,05/14/1996 12:00:00 AM,MASCULINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA UNION,09/19/1995 12:00:00 AM,FEMENINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA UNION,09/18/1997 12:00:00 AM,FEMENINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
